Date,High_Moderna,Low_Moderna,Open_Moderna,Close_Moderna,Volume_Moderna,Adj Close_Moderna,High_Inovio Pharmaceuticals,Low_Inovio Pharmaceuticals,Open_Inovio Pharmaceuticals,Close_Inovio Pharmaceuticals,Volume_Inovio Pharmaceuticals,Adj Close_Inovio Pharmaceuticals,High_Novavax,Low_Novavax,Open_Novavax,Close_Novavax,Volume_Novavax,Adj Close_Novavax,High_BioNTech,Low_BioNTech,Open_BioNTech,Close_BioNTech,Volume_BioNTech,Adj Close_BioNTech
24-01-2020,21.87899971,20.89999962,21.60000038,21.12000084,2947800,21.12000084,4.699999809,4.119999886,4.489999771,4.239999771,24626700,4.239999771,8.119999886,7.510000229,7.989999771,7.800000191,10553600,7.800000191,35.90000153,33.56600189,35.31999969,34.99000168,209700,34.99000168
27-01-2020,23.12000084,21.12000084,22.10000038,22.73999977,10294700,22.73999977,5.949999809,5.099999905,5.599999905,5.320000172,40859100,5.320000172,9.319999695,8.31000042,9.229999542,8.5,16742100,8.5,34.53499985,32.75,33.24000168,33.20000076,120000,33.20000076
28-01-2020,23.5,21.85000038,23.5,22.36000061,5649300,22.36000061,5.679999828,4.28000021,5.670000076,4.360000134,23851800,4.360000134,8.170000076,7.010000229,8.010000229,7.170000076,8664300,7.170000076,34.83000183,32.59999847,34.04000092,34.22000122,165200,34.22000122
29-01-2020,22.34000015,20.45000076,22.22999954,20.54999924,4671900,20.54999924,4.550000191,3.920000076,4.489999771,4.110000134,10834300,4.110000134,7.340000153,6.260000229,7.21999979,6.840000153,5591100,6.840000153,33.95000076,31.73999977,33.95000076,31.79999924,184200,31.79999924
30-01-2020,21.73999977,20.79999924,21.04999924,20.98999977,3061800,20.98999977,4.880000114,4.5,4.860000134,4.659999847,20998900,4.659999847,7.099999905,6.730000019,7.03000021,7,3738800,7,31.19000053,28.57999992,30.70000076,29.89999962,228600,29.89999962
31-01-2020,21.31999969,20.04999924,21.13999939,20.51000023,2833600,20.51000023,4.809999943,4.300000191,4.800000191,4.53000021,13975600,4.53000021,7.789999962,6.789999962,7.210000038,7.619999886,6765900,7.619999886,30.95000076,28.5,30.36000061,29.20999908,138700,29.20999908
03-02-2020,21.05999947,19.70000076,20.65999985,20.37999916,3155400,20.37999916,4.46999979,3.710000038,4.360000134,3.910000086,11367800,3.910000086,7.429999828,6.75,7.260000229,6.809999943,4195600,6.809999943,30.69000053,28.78000069,29.79999924,30.27000046,177600,30.27000046
04-02-2020,20.87999916,19.75,20.09000015,20.87000084,1824400,20.87000084,3.900000095,3.329999924,3.74000001,3.710000038,9551300,3.710000038,7.070000172,6.550000191,6.630000114,7.010000229,4168300,7.010000229,32.91999817,29.17000008,29.17000008,32.91999817,137600,32.91999817
05-02-2020,21.20000076,19.67000008,20.98999977,20.04999924,2656800,20.04999924,3.710000038,3.400000095,3.5,3.559999943,4183600,3.559999943,7.010000229,6.590000153,6.900000095,6.96999979,2158500,6.96999979,34,28.69000053,34,29.25,405000,29.25
06-02-2020,20.31999969,19.70000076,20.27000046,19.87999916,1929700,19.87999916,3.559999943,3.25,3.549999952,3.369999886,6243500,3.369999886,6.980000019,6.710000038,6.889999866,6.840000153,1457600,6.840000153,32.93000031,29.68000031,32,32.93000031,387400,32.93000031
07-02-2020,23.38999939,19.79000092,19.79000092,23.23999977,10144200,23.23999977,3.390000105,3.140000105,3.359999895,3.190000057,4360800,3.190000057,6.889999866,6.260000229,6.760000229,6.309999943,2607200,6.309999943,32.49000168,30.06999969,31.87999916,30.87999916,166700,30.87999916
10-02-2020,23.95000076,22.38299942,23.5,23.64999962,9356800,23.64999962,3.920000076,3.25,3.329999924,3.480000019,15857100,3.480000019,7.389999866,6.429999828,6.429999828,7.019999981,6183600,7.019999981,32.15000153,30.11000061,30.98999977,32.11999893,121700,32.11999893
11-02-2020,22.73999977,21.28000069,22.09000015,21.35000038,6188300,21.35000038,3.450000048,3.25999999,3.420000076,3.390000105,4488600,3.390000105,7.349999905,6.699999809,6.929999828,7.210000038,2429000,7.210000038,31.47999954,29.79999924,31.47999954,30.70999908,175300,30.70999908
12-02-2020,19.67000008,18.5,19.63999939,19.01000023,19231800,19.01000023,3.480000019,3.289999962,3.400000095,3.339999914,3797300,3.339999914,7.690000057,7.110000134,7.199999809,7.309999943,2715000,7.309999943,31.10000038,29,30,29.55999947,157700,29.55999947
13-02-2020,19.79999924,18.88999939,19.36000061,19.04500008,6837000,19.04500008,4.050000191,3.599999905,3.720000029,3.859999895,29261400,3.859999895,8.050000191,7.510000229,7.599999905,7.789999962,4408600,7.789999962,30.63999939,29.07999992,29.51000023,30.63999939,107100,30.63999939
14-02-2020,19.29000092,18.85000038,19.27000046,19,5384500,19,4.5,4.070000172,4.389999866,4.150000095,37226100,4.150000095,8.079999924,7.320000172,8.050000191,7.679999828,2732800,7.679999828,31.56999969,29.71999931,31,30.75,128700,30.75
